Id,Season,City,Date,Team1,Team2,Toss_Winner,Toss_Decision,Result,DL_Applied,Winner,Win_By_Runs,Win_By_Wickets,Player_Of_Match,Venue,Umpire1,Umpire2,Umpire3
64871,2003/04,Dambulla,22-02-04,Sri Lanka,Australia,Sri Lanka,Bat,Normal,No,Sri Lanka,1,0,WPUJC Vaas,Rangiri Dambulla International Stadium,BF Bowden,PT Manuel,MG Silva
64872,2003/04,Dunedin,25-02-04,South Africa,New Zealand,New Zealand,Field,Normal,No,New Zealand,0,6,HJH Marshall,Carisbrook,RB Tiffin,AL Hill,GAV Baxter
64874,2003/04,Colombo,27-02-04,Australia,Sri Lanka,Australia,Bat,Normal,No,Australia,40,0,MS Kasprowicz,R.Premadasa Stadium,BF Bowden,TH Wijewardene,PT Manuel
64881,2003/04,Harare,14-03-04,Bangladesh,Zimbabwe,Bangladesh,Bat,Normal,No,Zimbabwe,0,3,Khaled Mahmud,Harare Sports Club,BG Jerling,ID Robinson,KC Barbour
64882,2003/04,Rawalpindi,16-03-04,Pakistan,India,Pakistan,Bat,Normal,No,Pakistan,12,0,SR Tendulkar,Rawalpindi Cricket Stadium,Asad Rauf,SJA Taufel,Zameer Haider
64883,2003/04,Peshawar,19-03-04,India,Pakistan,Pakistan,Field,Normal,No,Pakistan,0,4,Yasir Hameed,Arbab Niaz Stadium,DR Shepherd,Nadeem Ghauri,Asad Rauf
64884,2003/04,Lahore,21-03-04,Pakistan,India,Pakistan,Bat,Normal,No,India,0,5,Inzamam-ul-Haq,Gaddafi Stadium,Asad Rauf,SJA Taufel,Nadeem Ghauri
64885,2003/04,Lahore,24-03-04,India,Pakistan,Pakistan,Field,Normal,No,India,40,0,VVS Laxman,Gaddafi Stadium,DR Shepherd,Nadeem Ghauri,Zameer Haider
64887,2004,Bulawayo,20-04-04,Zimbabwe,Sri Lanka,Sri Lanka,Field,D/L,Yes,Sri Lanka,12,0,T Taibu,Queens Sports Club,DJ Harper,KC Barbour,RB Tiffin
64889,2003/04,Port of Spain,24-04-04,West Indies,England,West Indies,Bat,Normal,No,NA,0,0,NA,Queen's Park Oval,BR Doctrove,DB Hair,BEW Morgan
64891,2004,Harare,27-04-04,Sri Lanka,Zimbabwe,Zimbabwe,Field,Normal,No,Sri Lanka,72,0,UDU Chandana,Harare Sports Club,IL Howell,KC Barbour,ID Robinson
64894,2003/04,Gros Islet,02-05-04,England,West Indies,West Indies,Field,Normal,No,West Indies,0,4,S Chanderpaul,Daren Sammy National Cricket Stadium,Aleem Dar,EA Nicholls,BR Doctrove
64896,2004,Kingstown,15-05-04,Bangladesh,West Indies,West Indies,Field,Normal,No,West Indies,0,1,IDR Bradshaw,Arnos Vale Ground,DR Shepherd,EA Nicholls,BR Doctrove
64897,2004,Kingstown,16-05-04,West Indies,Bangladesh,Bangladesh,Field,Normal,No,West Indies,23,0,DR Smith,Arnos Vale Ground,BR Doctrove,DR Shepherd,EA Nicholls
64898,2004,St George's,19-05-04,Bangladesh,West Indies,Bangladesh,Bat,Normal,No,West Indies,0,7,DS Smith,National Cricket Stadium,DR Shepherd,EA Nicholls,BR Doctrove
64899,2004,Harare,25-05-04,Zimbabwe,Australia,Zimbabwe,Bat,Normal,No,Australia,0,7,RT Ponting,Harare Sports Club,KC Barbour,SA Bucknor,RB Tiffin
64900,2004,Harare,27-05-04,Australia,Zimbabwe,Zimbabwe,Field,Normal,No,Australia,139,0,DS Lehmann,Harare Sports Club,ID Robinson,SA Bucknor,KC Barbour
64901,2004,Harare,29-05-04,Zimbabwe,Australia,Australia,Field,Normal,No,Australia,0,8,JN Gillespie,Harare Sports Club,ID Robinson,SA Bucknor,RB Tiffin
64905,2004,Dambulla,28-08-04,South Africa,Sri Lanka,Sri Lanka,Field,Normal,No,Sri Lanka,0,7,KC Sangakkara,Rangiri Dambulla International Stadium,EAR de Silva,BF Bowden,TH Wijewardene
64906,2004,Colombo,31-08-04,Sri Lanka,South Africa,South Africa,Field,Normal,No,Sri Lanka,49,0,UDU Chandana,Sinhalese Sports Club,BF Bowden,TH Wijewardene,REJ Martinesz
64907,2004/05,Chattogram,02-11-04,New Zealand,Bangladesh,New Zealand,Bat,Normal,No,New Zealand,138,0,CL Cairns,MA Aziz Stadium,AFM Akhtaruddin,MR Benson,Nadir Shah
64910,2004/05,Harare,28-11-04,Zimbabwe,England,England,Field,Normal,No,England,0,5,IR Bell,Harare Sports Club,BG Jerling,KC Barbour,RB Tiffin
64911,2004/05,Harare,01-12-04,England,Zimbabwe,England,Bat,Normal,No,England,161,0,KP Pietersen,Harare Sports Club,DB Hair,RB Tiffin,KC Barbour
64913,2004/05,Bulawayo,05-12-04,England,Zimbabwe,England,Bat,Normal,No,England,74,0,GO Jones,Queens Sports Club,DB Hair,RB Tiffin,KC Barbour
64914,2004/05,Chattogram,23-12-04,India,Bangladesh,Bangladesh,Field,Normal,No,India,11,0,M Kaif,MA Aziz Stadium,Aleem Dar,Mahbubur Rahman,Nadir Shah
64917,2004/05,Dhaka,27-12-04,India,Bangladesh,India,Bat,Normal,No,India,91,0,V Sehwag,Bangabandhu National Stadium,Aleem Dar,Mahbubur Rahman,Nadir Shah
64919,2004/05,Chattogram,24-01-05,Zimbabwe,Bangladesh,Zimbabwe,Bat,Normal,No,Zimbabwe,31,0,BG Rogers,MA Aziz Stadium,Asad Rauf,Mahbubur Rahman,Nadir Shah
64922,2004/05,Johannesburg,30-01-05,South Africa,England,England,Field,D/L,Yes,England,26,0,MP Vaughan,The Wanderers Stadium,SA Bucknor,IL Howell,KH Hurter
64923,2004/05,Dhaka,31-01-05,Zimbabwe,Bangladesh,Zimbabwe,Bat,Normal,No,Bangladesh,0,8,Mohammad Rafique,Bangabandhu National Stadium,Mahbubur Rahman,Nadeem Ghauri,Nadir Shah
64924,2004/05,Bloemfontein,02-02-05,England,South Africa,South Africa,Field,Normal,No,NA,0,0,KP Pietersen,Mangaung Oval,SJA Taufel,BG Jerling,IL Howell
64925,2004/05,Port Elizabeth,04-02-05,England,South Africa,England,Bat,Normal,No,South Africa,0,3,GC Smith,St George's Park,SA Bucknor,BG Jerling,KH Hurter
64926,2004/05,Cape Town,06-02-05,South Africa,England,England,Field,Normal,No,South Africa,108,0,HH Gibbs,Newlands,SJA Taufel,IL Howell,BG Jerling
64927,2004/05,East London,09-02-05,South Africa,England,South Africa,Bat,Normal,No,South Africa,7,0,JM Kemp,Buffalo Park,SA Bucknor,IL Howell,BG Jerling
64928,2004/05,Durban,11-02-05,South Africa,England,South Africa,Bat,Normal,No,NA,0,0,NA,Kingsmead,SJA Taufel,BG Jerling,IL Howell
64929,2004/05,Centurion,13-02-05,England,South Africa,South Africa,Field,Normal,No,South Africa,0,3,KP Pietersen,SuperSport Park,SA Bucknor,BG Jerling,IL Howell
64932,2004/05,Johannesburg,25-02-05,South Africa,Zimbabwe,Zimbabwe,Field,Normal,No,South Africa,165,0,MV Boucher,The Wanderers Stadium,DJ Harper,IL Howell,BG Jerling
64933,2004/05,Auckland,26-02-05,Australia,New Zealand,Australia,Bat,Normal,No,Australia,86,0,MJ Clarke,Eden Park,Aleem Dar,DB Cowie,AL Hill
64934,2004/05,Durban,27-02-05,South Africa,Zimbabwe,Zimbabwe,Field,Normal,No,South Africa,131,0,GC Smith,Kingsmead,BG Jerling,BR Doctrove,IL Howell
64935,2004/05,Wellington,01-03-05,New Zealand,Australia,Australia,Field,Normal,No,Australia,0,7,AC Gilchrist,Basin Reserve,Aleem Dar,AL Hill,DB Cowie
64936,2004/05,Port Elizabeth,02-03-05,Zimbabwe,South Africa,Zimbabwe,Bat,Normal,No,South Africa,0,5,JM Kemp,St George's Park,DJ Harper,IL Howell,BG Jerling
64939,2004/05,Visakhapatnam,05-04-05,India,Pakistan,India,Bat,Normal,No,India,58,0,MS Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,BF Bowden,AV Jayaprakash,I Shivram
64941,2004/05,Ahmedabad,12-04-05,India,Pakistan,India,Bat,Normal,No,Pakistan,0,3,Inzamam-ul-Haq,Sardar Patel (Gujarat) Stadium,RE Koertzen,K Hariharan,I Shivram
64942,2004/05,Kanpur,15-04-05,India,Pakistan,India,Bat,Normal,No,Pakistan,0,5,Shahid Afridi,Green Park,RE Koertzen,K Hariharan,I Shivram
64943,2004/05,Delhi,17-04-05,Pakistan,India,Pakistan,Bat,Normal,No,Pakistan,159,0,Shoaib Malik,Arun Jaitley Stadium,RE Koertzen,AV Jayaprakash,K Hariharan
65029,2003,Manchester,17-06-03,England,Pakistan,England,Bat,Normal,No,Pakistan,0,2,Mohammad Hafeez,Old Trafford,DB Hair,DR Shepherd,P Willey
65030,2003,London,20-06-03,Pakistan,England,Pakistan,Bat,Normal,No,England,0,7,ME Trescothick,Kennington Oval,DB Hair,NA Mallender,JW Lloyds
65031,2003,London,22-06-03,Pakistan,England,England,Field,Normal,No,England,0,4,ME Trescothick,Lord's,DB Hair,P Willey,NA Mallender
65032,2004,Nottingham,01-09-04,India,England,England,Field,Normal,No,England,0,7,AG Wharf,Trent Bridge,DB Hair,DR Shepherd,JW Lloyds
65033,2004,London,03-09-04,England,India,India,Field,Normal,No,England,70,0,A Flintoff,Kennington Oval,DB Hair,MR Benson,NJ Llong
65034,2004,London,05-09-04,India,England,India,Bat,Normal,No,India,23,0,SC Ganguly,Lord's,DB Hair,JW Lloyds,MR Benson
65235,2002/03,Cape Town,09-02-03,West Indies,South Africa,West Indies,Bat,Normal,No,West Indies,3,0,BC Lara,Newlands,DJ Harper,S Venkataraghavan,P Willey
65236,2002/03,Harare,10-02-03,Zimbabwe,Namibia,Namibia,Field,D/L,Yes,Zimbabwe,86,0,CB Wishart,Harare Sports Club,DL Orchard,SJA Taufel,DB Hair
65237,2002/03,Bloemfontein,10-02-03,Sri Lanka,New Zealand,New Zealand,Field,Normal,No,Sri Lanka,47,0,ST Jayasuriya,Goodyear Park,NA Mallender,SA Bucknor,RB Tiffin
65238,2002/03,Johannesburg,11-02-03,Australia,Pakistan,Pakistan,Field,Normal,No,Australia,82,0,A Symonds,New Wanderers Stadium,EAR de Silva,DR Shepherd,BF Bowden
65239,2002/03,Durban,11-02-03,Canada,Bangladesh,Canada,Bat,Normal,No,Canada,60,0,A Codrington,Kingsmead,Aleem Dar,BG Jerling,AV Jayaprakash
65240,2002/03,Potchefstroom,12-02-03,Kenya,South Africa,Kenya,Bat,Normal,No,South Africa,0,10,L Klusener,North West Cricket Stadium,KC Barbour,TH Wijewardene,NA Mallender
65241,2002/03,Paarl,12-02-03,India,Netherlands,India,Bat,Normal,No,India,68,0,TBM de Leede,Boland Bank Park,DJ Harper,P Willey,Nadeem Ghauri
65242,2002/03,Gqeberha,13-02-03,New Zealand,West Indies,West Indies,Field,Normal,No,New Zealand,20,0,AR Adams,St George's Park,DB Hair,RE Koertzen,S Venkataraghavan
65244,2002/03,Centurion,15-02-03,India,Australia,India,Bat,Normal,No,Australia,0,9,JN Gillespie,SuperSport Park,EAR de Silva,DR Shepherd,BG Jerling
65245,2002/03,Cape Town,15-02-03,Canada,Kenya,Canada,Bat,Normal,No,Kenya,0,4,TM Odoyo,Newlands,AV Jayaprakash,Nadeem Ghauri,KC Barbour
65246,2002/03,East London,16-02-03,Netherlands,England,England,Field,Normal,No,England,0,6,JM Anderson,Buffalo Park,DB Hair,RE Koertzen,TH Wijewardene
65247,2002/03,Kimberley,16-02-03,Pakistan,Namibia,Pakistan,Bat,Normal,No,Pakistan,171,0,Wasim Akram,De Beers Diamond Oval,DL Orchard,NA Mallender,SJA Taufel
65248,2002/03,Johannesburg,16-02-03,South Africa,New Zealand,South Africa,Bat,D/L,Yes,New Zealand,0,9,SP Fleming,New Wanderers Stadium,P Willey,SA Bucknor,DJ Harper
65249,2002/03,Benoni,18-02-03,West Indies,Bangladesh,Bangladesh,Field,Normal,No,NA,0,0,NA,Willowmoore Park,BG Jerling,RB Tiffin,BF Bowden
65250,2002/03,Harare,19-02-03,India,Zimbabwe,Zimbabwe,Field,Normal,No,India,83,0,SR Tendulkar,Harare Sports Club,EAR de Silva,RE Koertzen,DB Hair
65251,2002/03,Paarl,19-02-03,Canada,Sri Lanka,Sri Lanka,Field,Normal,No,Sri Lanka,0,9,RAP Nissanka,Boland Bank Park,DR Shepherd,NA Mallender,KC Barbour
65252,2002/03,Gqeberha,19-02-03,England,Namibia,Namibia,Field,Normal,No,England,55,0,AJ Burger,St George's Park,SJA Taufel,S Venkataraghavan,Nadeem Ghauri
65254,2002/03,Bloemfontein,22-02-03,Bangladesh,South Africa,South Africa,Field,Normal,No,South Africa,0,10,M Ntini,Goodyear Park,BF Bowden,S Venkataraghavan,TH Wijewardene
65255,2002/03,Cape Town,22-02-03,England,Pakistan,England,Bat,Normal,No,England,112,0,JM Anderson,Newlands,BG Jerling,RE Koertzen,SA Bucknor
65256,2002/03,Centurion,23-02-03,Canada,West Indies,West Indies,Field,Normal,No,West Indies,0,7,JM Davison,SuperSport Park,EAR de Silva,DB Hair,Nadeem Ghauri
65257,2002/03,Pietermaritzburg,23-02-03,India,Namibia,Namibia,Field,Normal,No,India,181,0,SR Tendulkar,City Oval,Aleem Dar,DR Shepherd,KC Barbour
65258,2002/03,Nairobi,24-02-03,Kenya,Sri Lanka,Sri Lanka,Field,Normal,No,Kenya,53,0,CO Obuya,Gymkhana Club Ground,DJ Harper,RB Tiffin,AV Jayaprakash
65259,2002/03,Bulawayo,24-02-03,Zimbabwe,Australia,Zimbabwe,Bat,Normal,No,Australia,0,7,AM Blignaut,Queens Sports Club,BF Bowden,DL Orchard,BG Jerling
65260,2002/03,Paarl,25-02-03,Pakistan,Netherlands,Netherlands,Field,Normal,No,Pakistan,97,0,Mohammad Yousuf,Boland Bank Park,S Venkataraghavan,SA Bucknor,TH Wijewardene
65261,2002/03,Kimberley,26-02-03,Bangladesh,New Zealand,Bangladesh,Bat,Normal,No,New Zealand,0,7,CD McMillan,De Beers Diamond Oval,DB Hair,DR Shepherd,BG Jerling
65262,2002/03,Durban,26-02-03,India,England,India,Bat,Normal,No,India,82,0,A Nehra,Kingsmead,RE Koertzen,SJA Taufel,EAR de Silva
65263,2002/03,Potchefstroom,27-02-03,Australia,Namibia,Australia,Bat,Normal,No,Australia,256,0,GD McGrath,North West Cricket Stadium,BF Bowden,RB Tiffin,NA Mallender
65264,2002/03,East London,27-02-03,South Africa,Canada,Canada,Field,Normal,No,South Africa,118,0,HH Dippenaar,Buffalo Park,DJ Harper,KC Barbour,Aleem Dar
65265,2002/03,Bulawayo,28-02-03,Zimbabwe,Netherlands,Netherlands,Field,Normal,No,Zimbabwe,99,0,HH Streak,Queens Sports Club,SA Bucknor,TH Wijewardene,Nadeem Ghauri
65266,2002/03,Cape Town,28-02-03,Sri Lanka,West Indies,Sri Lanka,Bat,Normal,No,Sri Lanka,6,0,WPUJC Vaas,Newlands,DL Orchard,S Venkataraghavan,BG Jerling
65267,2002/03,Johannesburg,01-03-03,Kenya,Bangladesh,Kenya,Bat,Normal,No,Kenya,32,0,MO Odumbe,New Wanderers Stadium,EAR de Silva,NA Mallender,SJA Taufel
65268,2002/03,Centurion,01-03-03,Pakistan,India,Pakistan,Bat,Normal,No,India,0,6,SR Tendulkar,SuperSport Park,DR Shepherd,RE Koertzen,BF Bowden
65269,2002/03,Gqeberha,02-03-03,England,Australia,England,Bat,Normal,No,Australia,0,2,AJ Bichel,St George's Park,Aleem Dar,RB Tiffin,DL Orchard
65270,2002/03,Benoni,03-03-03,Canada,New Zealand,New Zealand,Field,Normal,No,New Zealand,0,5,JM Davison,Willowmoore Park,AV Jayaprakash,BG Jerling,TH Wijewardene
65271,2002/03,Bloemfontein,03-03-03,Netherlands,Namibia,Netherlands,Bat,Normal,No,Netherlands,64,0,JF Kloppenburg,Goodyear Park,DJ Harper,Nadeem Ghauri,DB Hair
65272,2002/03,Durban,03-03-03,Sri Lanka,South Africa,Sri Lanka,Bat,D/L,Yes,NA,0,0,MS Atapattu,Kingsmead,S Venkataraghavan,SA Bucknor,P Willey
65273,2002/03,Bulawayo,04-03-03,Pakistan,Zimbabwe,Pakistan,Bat,Normal,No,NA,0,0,NA,Queens Sports Club,EAR de Silva,BF Bowden,RE Koertzen
65275,2002/03,Centurion,07-03-03,Australia,Sri Lanka,Australia,Bat,Normal,No,Australia,96,0,RT Ponting,SuperSport Park,BF Bowden,DR Shepherd,BG Jerling
65276,2002/03,Cape Town,07-03-03,Kenya,India,Kenya,Bat,Normal,No,India,0,6,SC Ganguly,Newlands,DJ Harper,P Willey,SJA Taufel
65277,2002/03,Bloemfontein,08-03-03,Zimbabwe,New Zealand,Zimbabwe,Bat,Normal,No,New Zealand,0,6,NJ Astle,Goodyear Park,DB Hair,RE Koertzen,EAR de Silva
65278,2002/03,Johannesburg,10-03-03,India,Sri Lanka,Sri Lanka,Field,Normal,No,India,183,0,J Srinath,New Wanderers Stadium,DR Shepherd,SJA Taufel,DJ Harper
65279,2002/03,Gqeberha,11-03-03,Australia,New Zealand,New Zealand,Field,Normal,No,Australia,96,0,SE Bond,St George's Park,EAR de Silva,SA Bucknor,BG Jerling
65280,2002/03,Bloemfontein,12-03-03,Zimbabwe,Kenya,Zimbabwe,Bat,Normal,No,Kenya,0,7,MA Suji,Goodyear Park,Aleem Dar,S Venkataraghavan,BF Bowden
65281,2002/03,Centurion,14-03-03,New Zealand,India,India,Field,Normal,No,India,0,7,Z Khan,SuperSport Park,DJ Harper,P Willey,DB Hair
65282,2002/03,East London,15-03-03,Sri Lanka,Zimbabwe,Sri Lanka,Bat,Normal,No,Sri Lanka,74,0,MS Atapattu,Buffalo Park,BG Jerling,RE Koertzen,S Venkataraghavan
65283,2002/03,Durban,15-03-03,Kenya,Australia,Australia,Field,Normal,No,Australia,0,5,AY Karim,Kingsmead,BF Bowden,SA Bucknor,EAR de Silva
65284,2002/03,Gqeberha,18-03-03,Australia,Sri Lanka,Australia,Bat,D/L,Yes,Australia,48,0,A Symonds,St George's Park,DR Shepherd,RE Koertzen,BF Bowden
65285,2002/03,Durban,20-03-03,India,Kenya,India,Bat,Normal,No,India,91,0,SC Ganguly,Kingsmead,DJ Harper,SA Bucknor,SJA Taufel
65286,2002/03,Johannesburg,23-03-03,Australia,India,India,Field,Normal,No,Australia,125,0,RT Ponting,New Wanderers Stadium,DR Shepherd,SA Bucknor,RE Koertzen
65634,2002/03,Sydney,09-01-03,Sri Lanka,Australia,Australia,Field,Normal,No,Sri Lanka,79,0,ST Jayasuriya,Sydney Cricket Ground,RB Tiffin,SJA Taufel,DB Hair
65635,2002/03,Hobart,11-01-03,Australia,England,Australia,Bat,Normal,No,Australia,7,0,DR Martyn,Bellerive Oval,DB Hair,DL Orchard,SJ Davis
65636,2002/03,Sydney,13-01-03,Sri Lanka,England,Sri Lanka,Bat,Normal,No,Sri Lanka,31,0,ST Jayasuriya,Sydney Cricket Ground,DB Hair,RB Tiffin,SJA Taufel
65637,2002/03,Brisbane,15-01-03,Sri Lanka,Australia,Sri Lanka,Bat,Normal,No,Australia,0,4,MG Bevan,Brisbane Cricket Ground,DL Orchard,SJA Taufel,DB Hair
65638,2002/03,Adelaide,17-01-03,England,Sri Lanka,England,Bat,Normal,No,England,19,0,AR Caddick,Adelaide Oval,DJ Harper,RB Tiffin,SJ Davis
65639,2002/03,Adelaide,19-01-03,England,Australia,England,Bat,Normal,No,Australia,0,4,NW Bracken,Adelaide Oval,DJ Harper,DL Orchard,SJ Davis
65640,2002/03,Melbourne,21-01-03,Sri Lanka,Australia,Sri Lanka,Bat,Normal,No,Australia,0,9,RT Ponting,Melbourne Cricket Ground,DJ Harper,RB Tiffin,SJA Taufel
65641,2002/03,Sydney,23-01-03,England,Australia,England,Bat,Normal,No,Australia,0,10,B Lee,Sydney Cricket Ground,DL Orchard,SJA Taufel,DB Hair
65642,2002/03,Melbourne,25-01-03,Australia,England,Australia,Bat,Normal,No,Australia,5,0,B Lee,Melbourne Cricket Ground,DB Hair,RB Tiffin,SJA Taufel
65643,2003/04,Melbourne,09-01-04,Australia,India,Australia,Bat,Normal,No,Australia,18,0,A Symonds,Melbourne Cricket Ground,SJA Taufel,SA Bucknor,RL Parry
65644,2003/04,Sydney,11-01-04,Australia,Zimbabwe,Australia,Bat,Normal,No,Australia,99,0,BA Williams,Sydney Cricket Ground,RE Koertzen,SJA Taufel,RL Parry
65645,2003/04,Hobart,14-01-04,Zimbabwe,India,Zimbabwe,Bat,Normal,No,India,0,7,V Sehwag,Bellerive Oval,PD Parker,SA Bucknor,SJ Davis
